target,inbound_reference_count,referencing_files,top_referrers
docs/_canon/00_START_HERE.md,57,33,docs/_canon/_agent/GOVERNANCE_AUDIT_REPORT.md:11 | docs/_ai/_INDEX.md:5 | docs/_canon/_arch_requests/AR-2026-02-13-SCRIPTS-DOCS-AUDIT.md:4 | docs/_ai/_maps/agent-routing-map.md:4 | docs/_ai/_checklists/CHECKLIST_AGENT_DOCUMENTATION.md:2 | docs/_ai/_docs_arch/DOCS_ARCH_MASTER.md:2 | docs/scripts/VERIFY_MODELS.md:2 | docs/scripts/_ia/extractors/extract-ai-context.py:2 | docs/_canon/03_WORKFLOWS.md:1 | docs/_canon/05_MODELS_PIPELINE.md:1
docs/_canon/_agent/AI_GOVERNANCE_INDEX.md,6,3,docs/_canon/_agent/GOVERNANCE_AUDIT_REPORT.md:3 | docs/_canon/00_START_HERE.md:2 | docs/_ai/_INDEX.md:1
docs/_canon/AI_GOVERNANCE_INDEX.md,5,3,docs/scripts/_ia/generate_ai_governance_index.py:3 | docs/_canon/AI_GOVERNANCE_USAGE_GUIDE.md:1 | docs/_canon/_arch_requests/docs/_canon/patch_plans/PP-13-02-2026-AI-DOCS-CONSOLIDATION.md:1
docs/_canon/ARCH_REQUEST_GENERATION_PROTOCOL.md,7,7,docs/_canon/00_START_HERE.md:1 | docs/_canon/AI_GOVERNANCE_INDEX.md:1 | .github/copilot-handshake.md:1 | .github/agents/architect-agent.md:1 | .github/agents/README.md:1 | .github/instructions/00_general.instructions.md:1 | .github/workflows/governance-protocol-validation.yml:1
docs/_canon/EXEC_TASK_GENERATION_PROTOCOL.md,6,6,docs/_canon/00_START_HERE.md:1 | docs/_canon/AI_GOVERNANCE_INDEX.md:1 | docs/_canon/_agent/AI_ARCH_EXEC_PROTOCOL.md:1 | .github/copilot-handshake.md:1 | .github/instructions/10_exec_task.instructions.md:1 | .github/workflows/governance-protocol-validation.yml:1
docs/_canon/ADR_GENERATION_PROTOCOL.md,6,6,docs/_canon/00_START_HERE.md:1 | docs/_canon/AI_GOVERNANCE_INDEX.md:1 | docs/_canon/_agent/AI_ARCH_EXEC_PROTOCOL.md:1 | .github/copilot-handshake.md:1 | .github/instructions/10_exec_task.instructions.md:1 | .github/workflows/governance-protocol-validation.yml:1
docs/_canon/08_APPROVED_COMMANDS.md,47,25,docs/_canon/00_START_HERE.md:5 | docs/scripts/_ia/extractors/extract-approved-commands.py:4 | docs/_canon/09_TROUBLESHOOTING_GUARD_PARITY.md:3 | docs/_ai/06_AGENT-PROMPTS.md:3 | docs/_ai/_context/approved-commands.yml:3 | docs/_canon/08_APPROVED_COMMANDS.md:2 | docs/_canon/AI_TUTORIAL.md:2 | docs/_canon/HUMAN_TUTORIAL.md:2 | docs/_canon/_agent/GOVERNANCE_AUDIT_REPORT.md:2 | docs/_ai/_docs_arch/DOCS_ARCH_MASTER.md:2
docs/_canon/09_TROUBLESHOOTING_GUARD_PARITY.md,22,11,docs/_canon/HUMAN_TUTORIAL.md:4 | docs/scripts/_ia/extractors/extract-troubleshooting.py:4 | docs/_canon/00_START_HERE.md:3 | docs/_canon/03_WORKFLOWS.md:3 | docs/_canon/AI_TUTORIAL.md:2 | docs/_canon/README_TUTORIALS.md:1 | docs/_canon/_agent/GOVERNANCE_AUDIT_REPORT.md:1 | docs/_ai/06_AGENT-PROMPTS.md:1 | docs/_ai/_maps/troubleshooting-map.json:1 | .github/prompts/models-gate.prompt.md:1
docs/_ai/_INDEX.md,22,10,docs/_canon/_agent/GOVERNANCE_AUDIT_REPORT.md:10 | docs/_ai/_context/AI_CONTEXT.md:2 | docs/scripts/_ia/README.md:2 | docs/scripts/_ia/generators/generate-ai-index.py:2 | docs/_canon/00_START_HERE.md:1 | docs/_canon/_agent/AI_ARCH_EXEC_PROTOCOL.md:1 | .github/copilot-instructions.md:1 | .github/instructions/00_general.instructions.md:1 | .github/instructions/comands.instructions.md:1 | .github/prompts/install-invariant.prompt.md:1
.github/copilot-role.md,0,0,
.github/instructions/prompts.instructions.md,1,1,docs/_canon/AI_GOVERNANCE_INDEX.md:1
docs/scripts/_ia/ai_governance_linter.py,6,6,docs/_canon/00_START_HERE.md:1 | docs/_canon/AI_KERNEL.md:1 | docs/_canon/_agent/AGENT_ROLE_MATRIX.md:1 | .github/instructions/00_general.instructions.md:1 | .github/workflows/governance-protocol-validation.yml:1 | .github/workflows/quality-gates.yml:1
docs/scripts/_ia/lint_arch_request.py,6,5,docs/_canon/00_START_HERE.md:2 | docs/_canon/AI_GOVERNANCE_USAGE_GUIDE.md:1 | docs/_canon/ARCH_REQUEST_GENERATION_PROTOCOL.md:1 | .github/workflows/governance-protocol-validation.yml:1 | .github/workflows/quality-gates.yml:1
.github/workflows/governance-protocol-validation.yml,0,0,
.github/workflows/quality-gates.yml,2,2,docs/_canon/00_START_HERE.md:1 | docs/_canon/_agent/AGENT_DRIFT_RULES.md:1
